t,ID,Name,Year,Equity.Muliplier,TD/TA ratio,STD/TA ratio,LTD/TA ratio,Market.Value
5,8,Beximco Pharmaceuticals Ltd.,2012,1.335810212,0.251390661,0.124642878,0.126747782,17029322895
6,8,Beximco Pharmaceuticals Ltd.,2013,1.389126895,0.280123361,0.15953627,0.120587091,16535807610
7,8,Beximco Pharmaceuticals Ltd.,2014,1.386246131,0.278627382,0.162333174,0.116294208,21592891972
8,8,Beximco Pharmaceuticals Ltd.,2015,1.371771941,0.262301989,0.128281579,0.13402041,30936323933
9,8,Beximco Pharmaceuticals Ltd.,2016,1.350811002,0.259703986,0.095751912,0.163952074,32768960756
10,8,Beximco Pharmaceuticals Ltd.,2017,1.359427006,0.264395958,0.099930356,0.164465602,42096758991
1,9,Beximco Synthetics Ltd.,2008,1.48113952,0.27565092,0.236646194,0.039004725,793144481.5
2,9,Beximco Synthetics Ltd.,2009,1.438377576,0.270490207,0.24345434,0.027035868,2068202567
3,9,Beximco Synthetics Ltd.,2010,1.418986758,0.269698972,0.253907035,0.015791937,3068237896
4,9,Beximco Synthetics Ltd.,2011,1.451720297,0.231595463,0.224607327,0.006988136,2597943428
5,9,Beximco Synthetics Ltd.,2012,1.51335305,0.339215657,0.330539098,0.00867656,1915554857
6,9,Beximco Synthetics Ltd.,2013,1.529104316,0.346022381,0.337729882,0.008292499,1448096395
7,9,Beximco Synthetics Ltd.,2014,1.54905671,0.354445842,0.231911801,0.122534042,1083904488
8,9,Beximco Synthetics Ltd.,2015,1.619596806,0.397431896,0.296795061,0.100636835,685027636.1
9,9,Beximco Synthetics Ltd.,2016,1.668824752,0.428053568,0.299205401,0.128848167,745726287.4
10,9,Beximco Synthetics Ltd.,2017,1.804589169,0.445857253,0.368210677,0.077646576,771739995.1
1,10,Central Pharmaceuticals Limited,2013,9.579243523,0.895607623,0.869104587,0.026503036,3151460000
2,10,Central Pharmaceuticals Limited,2014,1.286062403,0.222432755,0.143027776,0.079404979,2345057000
3,10,Central Pharmaceuticals Limited,2015,1.303787723,0.233003976,0.150583612,0.082420364,1980179250
4,10,Central Pharmaceuticals Limited,2016,1.304795088,0.233596134,0.154220035,0.079376099,2313037953
5,10,Central Pharmaceuticals Limited,2017,1.315740745,0.239971853,0.165976288,0.073995565,2133595985
1,11,Far Chemical Industries Limited,2014,1.054716752,0.051878148,0.051878148,0,3135127099
2,11,Far Chemical Industries Limited,2015,1.023687332,0.023139226,0.023139226,0,3918908859
3,11,Far Chemical Industries Limited,2016,1.020567854,0.020153343,0.020153343,0,3916177902
4,11,Far Chemical Industries Limited,2017,1.019630609,0.019252667,0.019252667,0,3514728711
1,12,Global Heavy Chemicals Limited,2013,1.1357703,1.239788477,0.043702986,1.196085491,4089600000
2,12,Global Heavy Chemicals Limited,2014,1.146050765,0.115203475,0.051362645,0.063840831,3024000000
3,12,Global Heavy Chemicals Limited,2015,1.149664748,0.125082231,0.051850783,0.073231448,2880000000
4,12,Global Heavy Chemicals Limited,2016,1.137757201,0.131200514,0.050173209,0.081027305,2908800000
5,12,Global Heavy Chemicals Limited,2017,1.160744103,0.128445868,0.044193019,0.08425285,2858400000
1,13,GlaxoSmithKline(GSK) Bangladesh Ltd.,2010,1.603217172,0.366316441,0.317662812,0.048653629,13607668790
2,13,GlaxoSmithKline(GSK) Bangladesh Ltd.,2011,1.962600454,0.490471941,0.43853432,0.051937621,8004865361
3,13,GlaxoSmithKline(GSK) Bangladesh Ltd.,2012,2.062660546,0.515189253,0.467937534,0.047251719,6866475930
4,13,GlaxoSmithKline(GSK) Bangladesh Ltd.,2013,2.159580296,0.536947062,0.505362059,0.031585004,11512791309
5,13,GlaxoSmithKline(GSK) Bangladesh Ltd.,2014,2.170657678,0.539310132,0.511722797,0.027587334,18214230888
6,13,GlaxoSmithKline(GSK) Bangladesh Ltd.,2015,2.136266401,0.531893588,0.523129775,0.008763813,21681198910
7,13,GlaxoSmithKline(GSK) Bangladesh Ltd.,2016,2.06621038,0.516022178,0.514840216,0.001181962,18466001672
1,14,The IBN SINA Pharmaceutical Industry Ltd.,2008,2.722405315,0.670818635,0.616644586,0.054174049,896175000
2,14,The IBN SINA Pharmaceutical Industry Ltd.,2009,2.804385766,0.576690911,0.510579417,0.066111494,1397250000
3,14,The IBN SINA Pharmaceutical Industry Ltd.,2010,2.328027755,0.488060855,0.410163865,0.077896991,1745010000
4,14,The IBN SINA Pharmaceutical Industry Ltd.,2011,1.5945241,0.306907191,0.29197846,0.014928731,1753488000
5,14,The IBN SINA Pharmaceutical Industry Ltd.,2012,1.58559031,0.294485363,0.268211076,0.026274286,1362420000
6,14,The IBN SINA Pharmaceutical Industry Ltd.,2013,1.55609364,0.357365152,0.290200193,0.067164959,1932336000
7,14,The IBN SINA Pharmaceutical Industry Ltd.,2014,1.759312398,0.431596116,0.335471437,0.096124679,2149092000
8,14,The IBN SINA Pharmaceutical Industry Ltd.,2015,1.939910048,0.484512181,0.330924859,0.153587321,3358998720
9,14,The IBN SINA Pharmaceutical Industry Ltd.,2016,1.990904252,0.497715674,0.337819796,0.159895878,5125504230
10,14,The IBN SINA Pharmaceutical Industry Ltd.,2017,1.950129953,0.487213661,0.337200975,0.150012685,6941766031
1,15,Imam Button Industries Ltd.,2008,1.953213038,0.057474615,0,0.057474615,90650000
2,15,Imam Button Industries Ltd.,2009,2.126716467,0.529791575,0.346338746,0.183452829,174125000
